SN505,SN508,SN515,SN517,SN521,SN528,SN529,SN531,SN534,SN553,SN575,SN598,SN579,SN601,SN655,SN667,SN674,SN677,SN683,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,GeneID,Drug
0.020932527,1.168979365,0.504307602,0.395571761,0.334323474,0,-0.014538293,-0.01319556,-0.116027189,0.025261127,0.090182465,0.745336304,0,-0.214888475,0,0,-0.03693134,0.507260169,0,0,0.104652002,-0.28633605,0.050953242,0.044843417,-0.067574289,0.320899028,0.061873436,-0.01296799,0,0,0.506779215,1.211262721,ENSG00000112769,OCRIPLASMIN
0,-0.369500019,0.409685524,0,0.343114393,0.397690464,0,0.495105514,0.323826292,-0.101960057,0.291133984,0,0,0,0.29998482,0,0.014748157,0,0,0.377996671,0,0.056562921,-0.211526677,-0.158230673,0.235059489,0,0.603113687,0,-0.255329013,0,0,-0.246696677,ENSG00000050555,OCRIPLASMIN
0.055512384,0.607499057,0,0,0,0.015372113,0.045372402,-0.096164055,2.224219147,0,0,0.045372402,0,0.185030162,0,0,0,0.743768478,0,0,0,0.126846524,0,1.04356524,-0.045372402,0,0,0.036568316,-0.03425253,0,0.573885935,0,ENSG00000060718,OCRIPLASMIN
-0.691799593,0.298731456,0.136593111,0,-0.243737856,0,0.041966238,0.701056341,0.228930563,-0.316431667,0,0,0.309430657,1.37916477,0.788710646,0,0.545986705,0,-0.049706379,0.059170605,0.482696013,0.299442196,-0.02312537,0.282356532,0.966053019,-0.186443027,1.312736631,0,0.373679827,2.229693512,-0.121448692,1.725146542,ENSG00000130635,OCRIPLASMIN
-1.046731116,0.806627591,0.567836869,0,0,0.460158702,0.837384893,0,-0.005604553,-0.072654951,-0.058833612,-0.62803867,0,-0.066377208,0.076397086,-1.203740783,-0.042730663,-0.157009667,0.24580801,0,0,-0.308229421,1.524779185,0.942058004,0,0,-0.118917533,0,0.014254563,0,0,1.574052245,ENSG00000196569,OCRIPLASMIN
-0.692548866,0.120199334,0,0.042972021,-0.271870081,0,0.517162237,-0.005307247,0.153159064,-0.780733277,0,0,0.229899739,1.861958941,0.402364933,0.115424811,0.391646674,0,-0.017545921,0.030640207,0.190060515,0.25997743,-0.021908038,-0.461699244,0.610425743,0.058419649,0.930941245,0,0.592484678,1.237982677,0.368283026,0.225017462,ENSG00000182871,OCRIPLASMIN
0,1.597924603,0,-0.214810701,-0.034096655,0,0,0.314772745,0.390517421,-0.16969127,0,0.582018865,0.149246029,0,-0.102618853,0.123360394,0,0.003677885,0,0,0.097471004,0,0,0,0.115643832,0.664177414,0.577975484,0,0,0.440326869,0,1.373892555,ENSG00000134871,OCRIPLASMIN
0.121432026,0.465000004,0.02085568,-0.087136646,-0.059131866,0.014318115,-0.738405772,0.789318209,0.060873652,0.822564261,0.013396553,-0.567852366,-0.225103113,1.080625058,0.157339711,0.041631092,0.101828406,0,-0.03853622,0.197096446,0.040060848,0.81208923,0.309461638,-0.611998163,0.186369684,0.036559148,-0.05603501,0.034213586,1.251413988,1.525161815,0.773073685,0.946058506,ENSG00000115414,OCRIPLASMIN
0,0,0.069684996,0,0,0,0,0.104020702,0.165825073,-0.004787295,0,0,0,1.245811704,0,0,0.01239528,0,0,0.084711534,0.120516115,0.787472178,0.056282469,0,0.295606809,0,0.461126249,0,1.261014007,1.225762236,0,-0.224023412,ENSG00000142156,OCRIPLASMIN
-0.108488187,1.673424748,-0.002051284,0.038674001,0.015101524,0.725807877,0.734456521,0,-0.016283886,0.200902705,0,0.552678957,0.092033453,0.103567278,0.018196462,0,0.002642362,-0.007222256,0.057737155,0.169577518,0,0.744617709,0.006250857,2.535431099,0.245194768,0.06262374,-0.008098459,0,0.39880036,0.408232494,0,0.854925537,ENSG00000135862,OCRIPLASMIN
0.861415328,0.414893647,-0.010403629,0,0.297307057,0.028515078,-0.15957448,0.176948211,0.061057806,0.606383023,0,0,0.495932637,3.770450663,0.363490352,0,0.670212815,0.031914896,0.130206558,0.318547794,0.904447522,0.045993305,0.119530684,-0.446808543,0.734042607,0.266509631,0.354021852,0,0.085601442,1.28560924,0.420812962,1.427751839,ENSG00000168542,OCRIPLASMIN
0,0.146843401,0,0,0,0,0,0,0.475669373,0,0.207442109,0,0,0,0,0,0,0,0.054916697,0.657570905,0,0.173372164,0,0,0.370108615,0.033032013,0,0,0,1.712691173,0.371448387,0.963474737,ENSG00000080573,OCRIPLASMIN
