DRUG CANDIDATE,SN503,SN504,SN505,SN508,SN512*,SN515,SN517,SN520,SN521,SN528,SN529,SN531,SN533,SN534,SN535,SN553,SN575,SN579,SN598,SN601,SN649,SN655,SN667,SN674,SN677,SN678,SN683,SN704,SN711,SN720,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,SN835,SN836
Homoharringtonine,0.000890616,0.000679317,6.19E-05,0.000350298,0.000489699,0.000306591,0.000418788,0.000362244,0.000266055,0.000349398,0.000300599,0.000137464,3.52E-05,5.05E-05,4.14E-05,3.44E-05,0.000564554,0.000768533,0.00010091,0.000352973,0.000238217,4.79E-05,0.000536673,0.000721119,0.000269676,0.000715152,6.47E-05,0.000170215,0.000221057,0.000102725,0.000477128,0.000280561,0.0005162,0.00029797,0.0006769,3.67E-05,0.000108492,3.54E-05,0.000396508,0.000422851,0.000258949,0.000297309,0.001051906,0.000317625,0.000307894
Hydroxychloroquine,0.000931345,0.00113241,0.001132984,0.000943585,0.00086793,0.000663431,0.000420674,0.000903053,0.001148568,0.0011571,0.001219938,0.000877809,0.000986688,0.001084938,0.001021698,0.001047368,0.000691483,0.001025977,0.000376499,0.000787886,0.000861539,0.000467871,0.001011183,0.000687372,0.000993204,0.001037665,0.001100355,0.000863161,0.000934616,0.000929678,0.000624842,0.001064554,0.000993588,0.001052723,0.000856339,0.000259373,0.000680217,0.000988475,0.000992874,0.000770647,0.001197054,0.0010636,0.001241487,0.001000323,0.000612632
Idarubicin,0.00033547,0.000423182,0.000654949,0.000291351,0.000155168,0.000223955,0.000120149,8.90E-05,8.75E-05,9.69E-05,0.000233855,0.000118417,5.12E-05,0.000125865,0.000192799,5.80E-05,3.71E-05,0.000493156,0.000297356,0.000203779,8.04E-05,1.18E-05,0.000312957,0.000217069,6.46E-05,0.000307482,3.36E-05,0.000200507,6.92E-05,0.000175453,0.000225711,0.00020837,0.000458381,0.000251342,0.00038392,1.71E-05,0.000170104,0.000150025,0.000177018,0.000338962,0.000274995,0.000225921,0.00046092,0.000207446,0.000303454
Irinotecan,0.000958191,0.00107539,0.001093323,0.000725379,0.000921527,0.000743761,0.000753468,0.000639959,0.000685634,0.000674534,0.000813599,0.000627124,0.000548633,0.000852026,0.000769472,0.000518231,0.000397273,0.000798276,0.000735124,0.000872108,0.000453687,0.000241377,0.000754111,0.000665976,0.000499727,0.000803423,0.000332396,0.000552939,0.000550897,0.000916021,0.000369584,0.000722847,0.000716096,0.000579715,0.000772752,0.000305966,0.000796978,0.000522669,0.00053655,0.000846201,0.000809593,0.000657854,0.000569817,0.000605569,0.000812215
Itraconazole,0.000897764,0.000983872,0.000819958,0.000871356,0.000838033,0.000837813,0.000980926,0.000734521,0.000846414,0.001073429,0.000965974,0.000910538,0.00102944,0.000926656,0.000856932,0.000824587,0.000677023,0.00075826,0.000701572,0.000876653,0.000636956,0.000780124,0.001017315,0.001163899,0.001219999,0.000984819,0.001219999,0.000775014,0.000702457,0.000743829,0.000753723,0.000787116,0.000834166,0.000796716,0.000794339,0.000845085,0.000853627,0.001053263,0.000887344,0.001008376,0.001093827,0.000935875,0.000834634,0.000730698,0.000855096
Ketoconazole,0.001177275,0.00106882,0.001089924,0.001190334,0.000939638,0.001131089,0.00121321,0.001061933,0.001129317,0.000783184,0.001038855,0.000803387,0.000943439,0.000967292,0.000899514,0.000935938,0.000878641,0.000879089,0.001163213,0.00082,0.000999999,0.001120588,0.000881618,0.000974891,0.000885445,0.000886541,0.000991903,0.001205603,0.001219999,0.000874121,0.001210481,0.00119973,0.000997215,0.001219999,0.001118109,0.000703643,0.000667138,0.000950193,0.000886756,0.000910746,0.000977967,0.000720515,0.00082,0.000736239,0.000681529
Lomustine,0.001103437,0.001219938,0.000975761,0.000809662,0.001005773,0.001039016,0.001092001,0.000942712,0.00092032,0.000819958,0.001177037,0.000905185,0.00092788,0.001034464,0.000949663,0.000815306,0.000709005,0.000860236,0.0005105,0.000921576,0.000663962,0.000628223,0.000907537,0.000850041,0.000827569,0.001138944,0.001036748,0.000850311,0.000964384,0.00082,0.000716342,0.000987239,0.001120104,0.000992888,0.000792502,0.000682504,0.000987142,0.000959996,0.000969337,0.001010687,0.001126747,0.000951376,0.000918929,0.000927092,0.001069299
Lovastatin,0.00112742,0.001044957,0.000970124,0.001103727,0.000974763,0.001002614,0.000987642,0.00074139,0.001029525,0.000843366,0.00099318,0.000811931,0.000749865,0.000916185,0.000949028,0.00032005,0.000925462,0.000783796,0.000743324,0.000705914,0.000853284,0.000646176,0.000792125,0.000901817,0.000679483,0.000930008,0.000787108,0.00094578,0.000726736,0.000723591,0.000887876,0.000874934,0.000812443,0.000810281,0.000723346,0.000804252,0.000866227,0.000764709,0.000775712,0.000703863,0.000972761,0.000971716,0.001280043,0.000825287,0.001008461
Mefloquine,0.000630097,0.000922843,0.001158948,0.000502536,0.000624157,0.000733342,0.000943607,0.000721767,0.000923551,0.00064417,0.000932025,0.000541065,0.000489257,0.000677924,0.00053201,0.000833287,0.000485418,0.000862527,0.000231528,0.000444484,0.000536956,0.000481355,0.000698354,0.000739024,0.000687654,0.000813301,0.000894807,0.000598236,0.000500328,0.000699794,0.000665468,0.000762223,0.00060857,0.000704902,0.000502343,0.0004102,0.000795828,0.000622204,0.000636782,0.000661289,0.000824235,0.000866743,0.000947975,0.000743031,0.00066768
Melphalan,0.000900602,0.001031126,0.000983825,0.000612952,0.000856719,0.000644239,0.000967128,0.00080073,0.000595844,0.000774232,0.001187762,0.000685336,0.000606163,0.000999517,0.000877575,0.00052307,0.000446012,0.000686495,0.000280965,0.00095418,0.000404005,0.000462627,0.0007804,0.000574097,0.000465083,0.000764643,0.0004999,0.000684326,0.000665727,0.001004368,0.000462826,0.000819281,0.000894649,0.000729413,0.000681639,0.00028454,0.00082,0.00062527,0.000705246,0.000792842,0.000954376,0.000832534,0.000891285,0.000519742,0.000582583
