,31_SN758-Neurosphere-P6_zscore
0,1.0
4,1.0
6,1.0
14,1.0
23,1.0
24,1.0
26,1.0
27,1.0
28,1.0
32,1.0
34,1.0
35,1.0
37,1.0
38,1.0
39,1.0
40,1.0
42,1.0
43,1.0
46,1.0
47,1.0
49,1.0
53,1.0
56,1.0
57,1.0
59,1.0
64,1.0
65,1.0
66,1.0
72,1.0
75,1.0
79,1.0
81,1.0
84,1.0
90,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
104,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
121,1.0
127,1.0
128,1.0
154,1.0
155,1.0
157,1.0
163,1.0
165,1.0
166,1.0
171,1.0
192,1.0
193,1.0
195,1.0
209,1.0
212,1.0
213,1.0
220,1.0
231,1.0
236,1.0
238,1.0
239,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
247,1.0
250,1.0
252,1.0
255,1.0
257,1.0
281,1.0
283,1.0
288,1.0
290,1.0
292,1.0
293,1.0
295,1.0
302,1.0
304,1.0
305,1.0
317,1.0
319,1.0
320,1.0
321,1.0
327,1.0
329,1.0
333,1.0
337,1.0
343,1.0
360,1.0
378,1.0
380,1.0
381,1.0
384,1.0
390,1.0
391,1.0
393,1.0
394,1.0
396,1.0
398,1.0
401,1.0
402,1.0
405,1.0
406,1.0
408,1.0
409,1.0
410,1.0
411,1.0
413,1.0
416,1.0
421,1.0
422,1.0
423,1.0
424,1.0
432,1.0
434,1.0
436,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
454,1.0
457,1.0
460,1.0
462,1.0
465,1.0
466,1.0
467,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
489,1.0
493,1.0
494,1.0
505,1.0
513,1.0
515,1.0
519,1.0
528,1.0
536,1.0
537,1.0
538,1.0
541,1.0
542,1.0
544,1.0
548,1.0
549,1.0
553,1.0
555,1.0
557,1.0
560,1.0
623,1.0
624,1.0
625,1.0
626,1.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
635,1.0
642,1.0
646,1.0
