Regulon_ID,PCA_1VarGSE7696,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPValGSE7696,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMemberGSE7696,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
2771,0.986923676,0.159688616,0.308067989,0,0.001996008,0.82723506,0.678855687,0.603533888,0.962886976,0,0.001996008,0.383389788,0.024036699
3655,0.97345997,0.15716307,0.419599345,0,0.001996008,0.816296901,0.553860625,0.738046793,0.675363234,0,0.001996008,0.235413178,0.298096736
3678,0.973187254,0.166814742,0.314526562,0,0.001996008,0.806372512,0.658660691,0.692523869,0.922352286,0,0.001996008,0.280663384,0.050834968
3530,0.97023118,0.160545803,0.364956548,0,0.001996008,0.809685377,0.605274633,0.720005737,0.913402978,0,0.001996008,0.250225444,0.056828202
2916,0.968420442,0.392750231,0.539211186,0,0.001996008,0.575670211,0.429209256,0.429092677,0.550624526,0,0.001996008,0.539327765,0.417795916
2943,0.962706647,0.15444265,0.337994738,0,0.001996008,0.808263998,0.624711909,0.584988365,0.677931244,0,0.001996008,0.377718283,0.284775403
2629,0.96005529,0.27546938,0.516219402,0,0.001996008,0.68458591,0.443835888,0.504761808,0.671627154,0,0.001996008,0.455293482,0.288428136
3048,0.959696733,0.181617003,0.3788641,0,0.001996008,0.77807973,0.580832633,0.580012271,0.734496263,0,0.001996008,0.379684462,0.22520047
2268,0.959432794,0.2142956,0.426174751,0,0.001996008,0.745137194,0.533258043,0.648993063,0.634540539,0,0.001996008,0.310439731,0.324892256
2642,0.957952238,0.317525049,0.507698605,0,0.001996008,0.640427189,0.450253633,0.371392606,0.607957489,0,0.001996008,0.586559632,0.349994749
955,0.957690043,0.17991005,0.381402507,0,0.001996008,0.777779993,0.576287537,0.561488195,0.729405402,0,0.001996008,0.396201849,0.228284641
113,0.956531353,0.149331973,0.30770017,0,0.001996008,0.80719938,0.648831184,0.609646737,0.88620655,0,0.001996008,0.346884616,0.070324803
2841,0.956531353,0.149331973,0.306235677,0,0.001996008,0.80719938,0.650295677,0.609646737,0.887097378,0,0.001996008,0.346884616,0.069433975
2893,0.956047685,0.284997046,0.49577331,0,0.001996008,0.671050638,0.460274374,0.37315994,0.581585955,0,0.001996008,0.582887745,0.37446173
527,0.954740602,0.14629862,0.374371932,0,0.001996008,0.808441982,0.58036867,0.57660802,0.795260083,0,0.001996008,0.378132582,0.159480519
278,0.954072714,0.129542289,0.327112832,0,0.001996008,0.824530426,0.626959883,0.800556262,0.862446198,0,0.001996008,0.153516452,0.091626516
2069,0.952346889,0.177381966,0.395567816,0,0.001996008,0.774964922,0.556779073,0.787152305,0.601701225,0,0.001996008,0.165194584,0.350645663
13,0.951427159,0.173800404,0.348046963,0,0.001996008,0.777626756,0.603380197,0.709350165,0.898878136,0,0.001996008,0.242076994,0.052549023
5,0.951305661,0.161197711,0.268559748,0,0.001996008,0.79010795,0.682745913,0.742931905,0.709048622,0,0.001996008,0.208373756,0.242257039
2868,0.950263751,0.284777908,0.448593125,0,0.001996008,0.665485843,0.501670626,0.670546694,0.645259111,0,0.001996008,0.279717056,0.305004639
803,0.95025538,0.205258287,0.332965076,0,0.001996008,0.744997093,0.617290305,0.480225153,0.755820062,0,0.001996008,0.470030227,0.194435318
1261,0.95025538,0.205258287,0.400792934,0,0.001996008,0.744997093,0.549462446,0.480225153,0.755644273,0,0.001996008,0.470030227,0.194611107
2628,0.950036407,0.216173734,0.370618546,0,0.001996008,0.733862673,0.579417861,0.639229774,0.71316107,0,0.001996008,0.310806633,0.236875337
2516,0.948994249,0.174776526,0.28744681,0,0.001996008,0.774217723,0.661547439,0.563456924,0.773543203,0,0.001996008,0.385537325,0.175451046
1934,0.947826534,0.169474326,0.362889832,0,0.001996008,0.778352208,0.584936703,0.615911394,0.772422454,0,0.001996008,0.331915141,0.175404081
3439,0.947826534,0.169474326,0.362022603,0,0.001996008,0.778352208,0.585803931,0.615911394,0.769169714,0,0.001996008,0.331915141,0.178656821
1150,0.947739201,0.208459175,0.372718563,0,0.001996008,0.739280025,0.575020637,0.757278466,0.671928421,0,0.001996008,0.190460734,0.27581078
1354,0.947739201,0.208459175,0.346271574,0,0.001996008,0.739280025,0.601467626,0.757278466,0.675132781,0,0.001996008,0.190460734,0.27260642
1569,0.947739201,0.208459175,0.373670793,0,0.001996008,0.739280025,0.574068407,0.757278466,0.674420226,0,0.001996008,0.190460734,0.273318975
2429,0.947511781,0.18398132,0.379255753,0,0.001996008,0.763530461,0.568256027,0.590958165,0.776006777,0,0.001996008,0.356553615,0.171505004
3610,0.94743666,0.179540993,0.385077297,0,0.001996008,0.767895667,0.562359362,0.618278705,0.662410718,0,0.001996008,0.329157955,0.285025942
