Regulon_ID,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
526,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120690,R-526,1,1.441739031,0.208959024,8.01E-07,2.258091195,1.584880347,1
518,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120690,R-518,1,1.441739031,0.397830819,3.17E-22,2.802616525,2.227591346,1
2957,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,R-2957,1,2.070024487,0.415928379,2.45E-24,2.356452893,1.699606502,1
2954,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,R-2954,1,2.070024487,0.226968718,7.82E-08,2.502853619,1.860050123,1
2952,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,R-2952,1,2.070024487,0.674851757,4.43E-74,3.228442826,2.79000308,1
2633,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000143995,R-2633,1,1.555502967,0.310204795,1.09E-13,2.357646353,1.697454038,1
2101,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,R-2101,1,2.131294266,0.293892001,2.22E-12,2.10307385,1.426128431,1
2100,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,R-2100,1,2.131294266,0.399743631,1.93E-22,2.414567906,1.765550523,1
2095,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,R-2095,1,2.131294266,0.30585583,2.49E-13,2.867607218,2.308082977,1
2098,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,R-2098,1,2.131294266,0.381101,2.19E-20,2.415734708,1.765992612,1
2032,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2032,1,1.445074261,0.293953034,2.20E-12,2.099950032,1.423134628,1
2035,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2035,1,1.445074261,0.465029371,9.40E-31,2.921514695,2.377856394,1
2051,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2051,1,1.445074261,-0.305673533,2.57E-13,-2.869324307,2.341564263,1
2045,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2045,1,1.445074261,0.237629848,1.79E-08,2.1057113,1.425755701,1
2043,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2043,1,1.445074261,0.445576829,4.38E-28,2.866755801,2.304638312,1
2044,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2044,1,1.445074261,0.317053426,2.91E-14,2.234609759,1.561378677,1
2037,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,R-2037,1,1.445074261,0.345195586,8.84E-17,2.628613949,2.010841739,1
355,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000173039,R-355,1,1.989521123,0.225791294,9.16E-08,2.061888459,1.381883972,1
3001,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000069011,R-3001,1,1.566834143,0.209187276,7.79E-07,2.61476761,1.993711431,1
3002,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000069011,R-3002,1,1.566834143,0.12144742,0.004412439,3.0017653,2.484588458,1
706,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-706,1,1.468666064,0.391488319,1.63E-21,2.087578559,1.405964878,1
702,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-702,1,1.468666064,0.38988658,2.45E-21,2.141916261,1.465647531,1
708,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-708,1,1.468666064,0.569177175,2.28E-48,2.560460407,1.929679756,1
710,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-710,1,1.468666064,0.326420243,4.52E-15,2.122233909,1.443694165,1
705,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-705,1,1.468666064,0.512082942,5.81E-38,2.262342482,1.596085592,1
716,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-716,1,1.468666064,0.532708315,1.71E-41,2.232054874,1.558373494,1
711,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-711,1,1.468666064,0.487293746,5.03E-34,2.017482142,1.336790228,1
712,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,R-712,1,1.468666064,0.630576184,4.32E-62,2.488224129,1.846471379,1
233,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,R-233,1,2.40670382,0.400730372,1.49E-22,2.243589991,1.572568806,1
2980,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000187079,R-2980,1,1.604697453,0.340258018,2.55E-16,3.257394888,2.829839593,1
2969,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000187079,R-2969,1,1.604697453,0.389866089,2.46E-21,2.014242927,1.332419026,1
2978,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000187079,R-2978,1,1.604697453,0.197218765,3.29E-06,3.400063701,3.031195782,1
626,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000140968,R-626,1,1.40454628,0.362309177,1.93E-18,2.088917126,1.411261817,1
627,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000140968,R-627,1,1.40454628,0.318479795,2.20E-14,2.485811919,1.84502598,1
3010,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000157554,R-3010,1,1.360096569,0.16510835,0.0001032,2.688751627,2.082297317,1
1503,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000185591,R-1503,1,1.30838386,0.194332483,4.59E-06,2.318499528,1.653021645,1
2843,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,R-2843,1,2.597770218,0.315654911,3.83E-14,2.353658925,1.694795556,1
2830,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,R-2830,1,2.597770218,0.596390419,4.37E-54,3.162737748,2.704243355,1
2839,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,R-2839,1,2.597770218,0.550806313,8.45E-45,2.486642424,1.843646015,1
2837,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,R-2837,1,2.597770218,0.475594321,2.82E-32,2.853186823,2.284534337,1
2832,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,R-2832,1,2.597770218,0.359149668,3.97E-18,2.240005478,1.567281748,1
2827,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,R-2827,1,2.597770218,0.504114202,1.16E-36,3.213393609,2.771404966,1
3480,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000203883,R-3480,1,1.342700986,0.114233602,0.00743287,2.470502851,1.823819057,1
