,Regulon_ID,PCA_1Var,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPVal,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMember,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
75,75,0.651653979,0.131087323,0.188139102,0,0.001996008,0.520566656,0.463514877,0.243327187,0.572863663,0,0.001996008,0.408326792,0.078790317
76,76,0.519786062,0.153527617,0.227057604,0,0.001996008,0.366258445,0.292728458,0.263840276,0.351889844,0,0.001996008,0.255945786,0.167896218
77,77,0.479117145,0.230891107,0.298899133,0,0.001996008,0.248226038,0.180218012,0.148709087,0.328302037,0,0.001996008,0.330408058,0.150815109
78,78,0.635372253,0.191920522,0.278515567,0,0.001996008,0.443451731,0.356856686,0.266776052,0.407376991,0,0.001996008,0.368596201,0.227995261
79,79,0.739360048,0.185674671,0.27460753,0,0.001996008,0.553685377,0.464752518,0.344575498,0.568875333,0,0.001996008,0.39478455,0.170484715
80,80,0.506223374,0.19919722,0.296994871,0,0.001996008,0.307026155,0.209228504,0.237604515,0.302908622,0,0.001996008,0.268618859,0.203314753
81,81,0.7393509,0.14209035,0.246539606,0,0.001996008,0.59726055,0.492811294,0.309918053,0.59099871,0,0.001996008,0.429432847,0.14835219
82,82,0.750023138,0.24333694,0.360414787,0,0.001996008,0.506686198,0.389608351,0.333909931,0.460095089,0,0.001996008,0.416113206,0.289928049
83,83,0.640400083,0.126454969,0.273783477,0,0.001996008,0.513945114,0.366616606,0.30424381,0.398026971,0,0.001996008,0.336156273,0.242373112
84,84,0.599678756,0.172770779,0.303943305,0,0.001996008,0.426907977,0.29573545,0.29231681,0.37094239,0,0.001996008,0.307361946,0.228736366
85,85,0.719652275,0.126295919,0.290872712,0,0.001996008,0.593356355,0.428779562,0.246588944,0.532288978,0,0.001996008,0.473063331,0.187363297
86,86,0.603459143,0.128212214,0.29013708,0,0.001996008,0.475246929,0.313322063,0.289422535,0.420223739,0,0.001996008,0.314036608,0.183235404
87,87,0.785406645,0.159487871,0.310877132,0,0.001996008,0.625918775,0.474529513,0.369904463,0.644258568,0,0.001996008,0.415502182,0.141148077
88,88,0.757184907,0.168756764,0.298959253,0,0.001996008,0.588428143,0.458225654,0.335256617,0.604842163,0,0.001996008,0.42192829,0.152342745
89,89,0.655103656,0.143755189,0.294380946,0,0.001996008,0.511348467,0.36072271,0.291514493,0.483478197,0,0.001996008,0.363589163,0.171625458
90,90,0.789382768,0.134434324,0.291840893,0,0.001996008,0.654948444,0.497541875,0.336030771,0.678921539,0,0.001996008,0.453351998,0.110461229
91,91,0.550200121,0.129529202,0.158253233,0,0.001996008,0.420670919,0.391946888,0.179391334,0.482274751,0,0.001996008,0.370808786,0.06792537
92,92,0.482256624,0.141740755,0.235446261,0,0.001996008,0.340515869,0.246810363,0.230501797,0.31677145,0,0.001996008,0.251754826,0.165485174
93,93,0.758778654,0.171527536,0.265141773,0,0.001996008,0.587251118,0.49363688,0.373053124,0.597766338,0,0.001996008,0.385725529,0.161012315
94,94,0.622470233,0.149817365,0.297906943,0,0.001996008,0.472652869,0.324563291,0.288953589,0.381619908,0,0.001996008,0.333516644,0.240850325
95,95,0.702252594,0.181977337,0.310468037,0,0.001996008,0.520275257,0.391784557,0.292187817,0.467651135,0,0.001996008,0.410064777,0.234601459
96,96,0.699003763,0.172148344,0.329665513,0,0.001996008,0.526855418,0.36933825,0.334207376,0.42165292,0,0.001996008,0.364796386,0.277350843
97,97,0.747670156,0.206981786,0.344651468,0,0.001996008,0.54068837,0.403018688,0.325187315,0.445210758,0,0.001996008,0.422482841,0.302459398
98,98,0.497032416,0.130565077,0.137153948,0,0.001996008,0.366467339,0.359878468,0.21989969,0.478588552,0,0.001996008,0.277132725,0.018443863
99,99,0.672470563,0.157020722,0.210966038,0,0.001996008,0.515449841,0.461504525,0.24034292,0.549073892,0,0.001996008,0.432127643,0.123396672
100,100,0.666380103,0.144702707,0.197433283,0,0.001996008,0.521677396,0.46894682,0.292680301,0.547589552,0,0.001996008,0.373699802,0.118790551
101,101,0.521477823,0.135064236,0.205372264,0,0.001996008,0.386413587,0.31610556,0.208581389,0.389023932,0,0.001996008,0.312896435,0.132453891
102,102,0.673180717,0.133984017,0.203734845,0,0.001996008,0.5391967,0.469445872,0.302152646,0.583053733,0,0.001996008,0.371028071,0.090126985
103,103,0.771314895,0.122315321,0.219381314,0,0.001996008,0.648999575,0.551933581,0.370539285,0.686098756,0,0.001996008,0.40077561,0.085216139
104,104,0.574183506,0.150379565,0.247289398,0,0.001996008,0.423803941,0.326894107,0.224270979,0.389227643,0,0.001996008,0.349912527,0.184955863
105,105,0.621600528,0.131311395,0.233621632,0,0.001996008,0.490289133,0.387978896,0.300605493,0.474364644,0,0.001996008,0.320995034,0.147235884
106,106,0.579158363,0.160149795,0.26082916,0,0.001996008,0.419008568,0.318329204,0.246901811,0.330924182,0,0.001996008,0.332256552,0.248234182
107,107,0.647272591,0.177589629,0.264620534,0,0.001996008,0.469682962,0.382652058,0.302188366,0.447274641,0,0.001996008,0.345084225,0.19999795
108,108,0.705014276,0.135481264,0.259960769,0,0.001996008,0.569533012,0.445053507,0.301716753,0.605324443,0,0.001996008,0.403297522,0.099689832
109,109,0.456003786,0.168830063,0.279775681,0,0.001996008,0.287173723,0.176228105,0.218130544,0.303196698,0,0.001996008,0.237873242,0.152807088
110,110,0.672524992,0.129625213,0.255632085,0,0.001996008,0.542899779,0.416892907,0.278956077,0.54060634,0,0.001996008,0.393568915,0.131918652
111,111,0.577366881,0.156276787,0.299648115,0,0.001996008,0.421090094,0.277718766,0.281665091,0.336460826,0,0.001996008,0.29570179,0.240906055
112,112,0.776729557,0.157360932,0.301715801,0,0.001996008,0.619368625,0.475013756,0.319404116,0.631112611,0,0.001996008,0.457325441,0.145616945
113,113,0.781020549,0.139443094,0.286527514,0,0.001996008,0.641577455,0.494493035,0.345926296,0.679925395,0,0.001996008,0.435094253,0.101095154
114,114,0.628743726,0.213877705,0.360312236,0,0.001996008,0.414866021,0.268431491,0.291426921,0.367103842,0,0.001996008,0.337316805,0.261639884
115,115,0.520379702,0.135656751,0.143866172,0,0.001996008,0.38472295,0.37651353,0.25481726,0.484150001,0,0.001996008,0.265562442,0.0362297
116,116,0.502504182,0.145553774,0.199016237,0,0.001996008,0.356950408,0.303487945,0.157238499,0.357879692,0,0.001996008,0.345265683,0.14462449
117,117,0.66364077,0.137126882,0.204112827,0,0.001996008,0.526513889,0.459527943,0.245885772,0.566111565,0,0.001996008,0.417754998,0.097529205
118,118,0.542074993,0.130037205,0.200644355,0,0.001996008,0.412037787,0.341430638,0.241135388,0.415504795,0,0.001996008,0.300939604,0.126570197
119,119,0.757074753,0.131175068,0.226858211,0,0.001996008,0.625899685,0.530216542,0.320941495,0.665218318,0,0.001996008,0.436133258,0.091856435
120,120,0.642766218,0.147173957,0.236964623,0,0.001996008,0.495592261,0.405801596,0.253673316,0.48980789,0,0.001996008,0.389092902,0.152958329
121,121,0.649684461,0.128284382,0.26603782,0,0.001996008,0.521400079,0.383646642,0.268283557,0.375686817,0,0.001996008,0.381400905,0.273997645
122,122,0.683303105,0.126522639,0.264369008,0,0.001996008,0.556780466,0.418934097,0.340022256,0.458687227,0,0.001996008,0.34328085,0.224615878
123,123,0.592017804,0.148523892,0.291918636,0,0.001996008,0.443493912,0.300099168,0.310457632,0.406537785,0,0.001996008,0.281560171,0.185480018
124,124,0.776990584,0.263258765,0.396182951,0,0.001996008,0.51373182,0.380807633,0.386994902,0.484173504,0,0.001996008,0.389995682,0.29281708
125,125,0.807322877,0.177229618,0.33050246,0,0.001996008,0.630093258,0.476820417,0.388243539,0.595768175,0,0.001996008,0.419079338,0.211554701
126,126,0.753090105,0.170461629,0.342065941,0,0.001996008,0.582628475,0.411024164,0.34484663,0.467995859,0,0.001996008,0.408243475,0.285094246
127,127,0.781812464,0.172877033,0.36963506,0,0.001996008,0.608935431,0.412177404,0.348978853,0.537174696,0,0.001996008,0.432833611,0.244637769
128,128,0.84010864,0.142359073,0.343077018,0,0.001996008,0.697749567,0.497031622,0.402516307,0.708701565,0,0.001996008,0.437592333,0.131407076
129,129,0.692264854,0.138955983,0.342524987,0,0.001996008,0.55330887,0.349739867,0.299585096,0.433754038,0,0.001996008,0.392679758,0.258510816
130,130,0.619610553,0.139201252,0.185757865,0,0.001996008,0.480409301,0.433852688,0.204589178,0.512714378,0,0.001996008,0.415021375,0.106896175
131,131,0.775528769,0.159969395,0.293820718,0,0.001996008,0.615559374,0.481708051,0.387798903,0.619765493,0,0.001996008,0.387729866,0.155763276
132,132,0.668349614,0.130534959,0.311553029,0,0.001996008,0.537814656,0.356796585,0.330910984,0.421918524,0,0.001996008,0.33743863,0.246431091
133,133,0.510432077,0.132316298,0.141670282,0,0.001996008,0.378115779,0.368761795,0.195704406,0.46971275,0,0.001996008,0.314727671,0.040719327
134,134,0.593193984,0.134845504,0.194748685,0,0.001996008,0.45834848,0.398445298,0.252006993,0.466993459,0,0.001996008,0.341186991,0.126200525
135,135,0.551820352,0.139582081,0.21479268,0,0.001996008,0.412238272,0.337027673,0.299668667,0.392965307,0,0.001996008,0.252151686,0.158855046
136,136,0.693887845,0.1577951,0.224548956,0,0.001996008,0.536092745,0.469338889,0.269613097,0.569660188,0,0.001996008,0.424274749,0.124227657
137,137,0.563339326,0.161781768,0.256069448,0,0.001996008,0.401557558,0.307269878,0.250309395,0.356460675,0,0.001996008,0.313029931,0.206878652
138,138,0.742358344,0.206241901,0.271080245,0,0.001996008,0.536116444,0.471278099,0.285226553,0.531892753,0,0.001996008,0.457131791,0.210465592
139,139,0.602020234,0.160569206,0.230114708,0,0.001996008,0.441451027,0.371905525,0.252820459,0.418300974,0,0.001996008,0.349199775,0.18371926
140,140,0.638158371,0.135762324,0.224223469,0,0.001996008,0.502396047,0.413934902,0.288538627,0.493581403,0,0.001996008,0.349619743,0.144576968
141,141,0.545251515,0.145384237,0.262352118,0,0.001996008,0.399867279,0.282899397,0.253746579,0.361354293,0,0.001996008,0.291504936,0.183897223
142,142,0.760826113,0.230894056,0.339238132,0,0.001996008,0.529932057,0.421587981,0.30446274,0.468339907,0,0.001996008,0.456363373,0.292486206
143,143,0.611764312,0.147107499,0.294294173,0,0.001996008,0.464656813,0.317470139,0.325575022,0.402006235,0,0.001996008,0.28618929,0.209758078
144,144,0.620500422,0.158423251,0.298865005,0,0.001996008,0.462077172,0.321635417,0.27724683,0.364983059,0,0.001996008,0.343253592,0.255517363
145,145,0.463798431,0.128538507,0.287721792,1,0.003992016,0.335259923,0.176076639,0.31239234,0.325483257,1,0.003992016,0.151406091,0.138315174
146,146,0.734182131,0.228817561,0.390820886,0,0.001996008,0.50536457,0.343361245,0.325148674,0.434323768,0,0.001996008,0.409033457,0.299858363
147,147,0.634526362,0.233787167,0.375907936,0,0.001996008,0.400739195,0.258618427,0.29300608,0.404434669,0,0.001996008,0.341520282,0.230091694
148,148,0.598423732,0.294717894,0.40628826,2,0.005988024,0.303705838,0.192135472,0.259874075,0.384811017,0,0.001996008,0.338549657,0.213612716
149,149,0.814904346,0.1441446,0.31847563,0,0.001996008,0.670759745,0.496428716,0.43187605,0.603700082,0,0.001996008,0.383028296,0.211204264
150,150,0.846890267,0.187060534,0.368576201,0,0.001996008,0.659829733,0.478314066,0.442619342,0.685641786,0,0.001996008,0.404270924,0.161248481
151,151,0.730113671,0.133426096,0.35088019,0,0.001996008,0.596687575,0.379233481,0.36595174,0.508792306,0,0.001996008,0.364161931,0.221321365
152,152,0.655266389,0.133702727,0.346303161,0,0.001996008,0.521563663,0.308963228,0.355881248,0.44192845,0,0.001996008,0.299385141,0.21333794
153,153,0.736611844,0.147116013,0.342705726,0,0.001996008,0.589495831,0.393906118,0.380188592,0.575793874,0,0.001996008,0.356423252,0.160817969
154,154,0.493346442,0.133190772,0.137864408,0,0.001996008,0.36015567,0.355482034,0.233211942,0.479554851,1,0.003992016,0.260134499,0.013791591
155,155,0.526571029,0.162198856,0.183194726,0,0.001996008,0.364372174,0.343376303,0.235304171,0.411743089,0,0.001996008,0.291266858,0.11482794
156,156,0.51340651,0.130058202,0.172274546,0,0.001996008,0.383348308,0.341131963,0.205446046,0.415007215,0,0.001996008,0.307960463,0.098399295
157,157,0.640199729,0.142738566,0.204369698,0,0.001996008,0.497461163,0.435830031,0.260218004,0.543192982,0,0.001996008,0.379981725,0.097006747
158,158,0.5075699,0.132208377,0.199758723,0,0.001996008,0.375361523,0.307811177,0.220278402,0.41078123,0,0.001996008,0.287291498,0.09678867
159,159,0.581634522,0.172403899,0.254047024,0,0.001996008,0.409230622,0.327587498,0.272619547,0.367675362,0,0.001996008,0.309014975,0.213959159
160,160,0.538590774,0.177462056,0.258576527,0,0.001996008,0.361128719,0.280014247,0.200323929,0.333348434,0,0.001996008,0.338266845,0.20524234
161,161,0.651032165,0.106362871,0.223241749,0,0.001996008,0.544669294,0.427790416,0.305231028,0.456617236,0,0.001996008,0.345801137,0.194414929
162,162,0.557220221,0.144519968,0.265224569,0,0.001996008,0.412700253,0.291995652,0.236636939,0.337672933,0,0.001996008,0.320583282,0.219547287
163,163,0.716792357,0.170113551,0.279738042,0,0.001996008,0.546678806,0.437054315,0.292279447,0.559725347,0,0.001996008,0.424512909,0.15706701
164,164,0.52082227,0.132395156,0.261428015,0,0.001996008,0.388427114,0.259394256,0.224252579,0.328925002,0,0.001996008,0.296569692,0.191897268
165,165,0.716676392,0.151551067,0.264290349,0,0.001996008,0.565125326,0.452386044,0.274265228,0.558933815,0,0.001996008,0.442411164,0.157742577
166,166,0.691426428,0.144270321,0.250290935,0,0.001996008,0.547156107,0.441135492,0.277781526,0.552568367,0,0.001996008,0.413644902,0.138858061
167,167,0.604886889,0.134579529,0.289351964,0,0.001996008,0.47030736,0.315534926,0.286520654,0.417049385,0,0.001996008,0.318366235,0.187837504
168,168,0.784096627,0.159933847,0.333381967,0,0.001996008,0.624162779,0.45071466,0.386480144,0.556296347,0,0.001996008,0.397616483,0.22780028
169,169,0.694330851,0.207377579,0.394352644,0,0.001996008,0.486953272,0.299978207,0.298090625,0.387070017,0,0.001996008,0.396240225,0.307260834
170,170,0.690493023,0.14813759,0.354037003,0,0.001996008,0.542355433,0.33645602,0.328894184,0.429060844,0,0.001996008,0.361598839,0.261432179
171,171,0.840467931,0.145148612,0.34954946,0,0.001996008,0.695319319,0.490918471,0.392246287,0.710940994,0,0.001996008,0.448221644,0.129526937
172,172,0.786181995,0.125213656,0.342190532,0,0.001996008,0.660968339,0.443991462,0.391244089,0.615349982,0,0.001996008,0.394937906,0.170832013
