,Regulon_ID,Regulator,Gene
0,0,ENSG00000147862,ENSG00000101160
1,0,ENSG00000147862,ENSG00000071073
2,0,ENSG00000147862,ENSG00000148908
3,0,ENSG00000147862,ENSG00000121281
4,0,ENSG00000147862,ENSG00000137767
5,0,ENSG00000147862,ENSG00000000938
6,0,ENSG00000147862,ENSG00000180353
7,0,ENSG00000147862,ENSG00000162745
8,0,ENSG00000147862,ENSG00000197405
9,0,ENSG00000147862,ENSG00000099250
10,0,ENSG00000147862,ENSG00000160691
11,0,ENSG00000147862,ENSG00000027697
12,0,ENSG00000147862,ENSG00000131724
13,0,ENSG00000147862,ENSG00000110446
14,0,ENSG00000147862,ENSG00000130429
15,0,ENSG00000147862,ENSG00000119535
16,0,ENSG00000147862,ENSG00000099785
17,0,ENSG00000147862,ENSG00000110031
18,0,ENSG00000147862,ENSG00000282608
19,0,ENSG00000147862,ENSG00000115232
20,0,ENSG00000147862,ENSG00000110876
21,0,ENSG00000147862,ENSG00000100060
22,0,ENSG00000147862,ENSG00000141655
23,0,ENSG00000147862,ENSG00000254087
24,0,ENSG00000147862,ENSG00000057252
25,0,ENSG00000147862,ENSG00000111424
26,0,ENSG00000147862,ENSG00000124357
27,0,ENSG00000147862,ENSG00000128340
28,0,ENSG00000147862,ENSG00000054219
29,0,ENSG00000147862,ENSG00000093072
30,0,ENSG00000147862,ENSG00000129038
31,0,ENSG00000147862,ENSG00000136305
32,0,ENSG00000147862,ENSG00000004799
33,0,ENSG00000147862,ENSG00000161638
34,0,ENSG00000147862,ENSG00000106991
35,0,ENSG00000147862,ENSG00000129450
36,0,ENSG00000147862,ENSG00000165025
37,0,ENSG00000147862,ENSG00000136404
38,0,ENSG00000147862,ENSG00000090339
39,0,ENSG00000147862,ENSG00000065534
40,0,ENSG00000147862,ENSG00000184922
41,0,ENSG00000147862,ENSG00000134996
42,0,ENSG00000147862,ENSG00000105974
43,0,ENSG00000147862,ENSG00000006534
44,0,ENSG00000147862,ENSG00000102879
45,1,ENSG00000147862,ENSG00000102554
46,1,ENSG00000147862,ENSG00000108375
47,1,ENSG00000147862,ENSG00000204175
48,1,ENSG00000147862,ENSG00000070159
49,1,ENSG00000147862,ENSG00000139629
50,1,ENSG00000147862,ENSG00000117472
51,1,ENSG00000147862,ENSG00000137486
52,1,ENSG00000147862,ENSG00000137880
53,1,ENSG00000147862,ENSG00000144063
54,1,ENSG00000147862,ENSG00000107960
55,2,ENSG00000147862,ENSG00000157782
56,2,ENSG00000147862,ENSG00000154277
57,2,ENSG00000147862,ENSG00000162630
58,2,ENSG00000147862,ENSG00000085365
59,2,ENSG00000147862,ENSG00000108176
60,2,ENSG00000147862,ENSG00000181751
61,2,ENSG00000147862,ENSG00000221946
62,2,ENSG00000147862,ENSG00000205629
63,3,ENSG00000147862,ENSG00000165821
64,3,ENSG00000147862,ENSG00000164708
65,3,ENSG00000147862,ENSG00000240583
66,3,ENSG00000147862,ENSG00000135916
67,3,ENSG00000147862,ENSG00000234078
68,3,ENSG00000147862,ENSG00000116745
69,3,ENSG00000147862,ENSG00000140391
70,4,ENSG00000126351,ENSG00000124831
71,4,ENSG00000126351,ENSG00000139278
72,4,ENSG00000126351,ENSG00000128604
73,4,ENSG00000126351,ENSG00000130208
74,4,ENSG00000126351,ENSG00000153071
75,4,ENSG00000126351,ENSG00000004399
76,4,ENSG00000126351,ENSG00000196511
77,4,ENSG00000126351,ENSG00000164733
78,4,ENSG00000126351,ENSG00000085514
79,4,ENSG00000126351,ENSG00000101347
80,4,ENSG00000126351,ENSG00000043462
81,4,ENSG00000126351,ENSG00000115414
82,4,ENSG00000126351,ENSG00000160691
