Regulon_ID,HRGSE7696,Cox-p-valueGSE7696
2953,3.383923834,0.000714578
1648,3.377762662,0.000730781
2849,3.068637448,0.002150374
1652,3.061061078,0.002205541
172,3.060437785,0.002210137
1642,2.903200295,0.003693703
2352,2.872884921,0.004067422
1437,2.862529254,0.004202745
1833,2.854258918,0.004313736
2971,2.850269988,0.004368213
839,2.841412314,0.00449142
1777,2.831045718,0.004639609
2503,2.810908202,0.004940188
2340,-2.777933543,0.005470581
3107,-2.777933543,0.005470581
3305,-2.760624363,0.005769099
3674,2.756445064,0.005843343
2462,2.705735629,0.006815328
2200,2.662223292,0.007762636
1360,2.661246304,0.007785198
3184,2.660335021,0.007806296
876,2.65836163,0.007852159
1007,-2.631526219,0.008500231
1834,-2.599915914,0.009324661
840,-2.596032498,0.009430715
873,2.582326362,0.009813673
2164,2.530403764,0.011393133
1441,2.52759905,0.011484542
1801,-2.513759693,0.01194518
464,-2.490785406,0.012746108
548,2.489041496,0.012808801
846,-2.474202823,0.013353386
1439,2.474039964,0.013359475
1840,-2.46184876,0.013822294
1393,2.435589115,0.014867562
2273,2.428062735,0.015179717
3666,-2.414054357,0.015776109
2530,2.404920737,0.016175974
3232,2.387731647,0.016952715
1715,2.386173114,0.017024735
2615,2.384244227,0.01711424
728,2.377134592,0.01744772
2586,2.374903913,0.017553519
3568,2.349650126,0.018791065
2665,2.345018523,0.019026134
1456,2.340347205,0.01926582
2201,2.336878544,0.0194455
2725,2.317099057,0.020498336
3418,2.302551866,0.02130407
1354,2.287235137,0.022182102
1569,2.287235137,0.022182102
2107,2.273852233,0.022974872
2276,2.268859521,0.02327687
1056,2.247659953,0.024597881
1199,-2.243045878,0.024893856
2344,-2.230567354,0.025709801
1350,2.222362621,0.026258809
2912,-2.209536938,0.027137316
1502,-2.204713809,0.027474183
1187,-2.201937908,0.027669695
2664,2.176851174,0.029491673
2504,2.172265145,0.029835669
360,2.14768623,0.03173869
1559,-2.143380157,0.032082585
1501,-2.142945107,0.032117506
557,-2.135011806,0.032760046
2637,-2.132962344,0.032927815
3656,2.127031272,0.033417485
1060,-2.125873829,0.033513767
2605,2.111418676,0.034736341
1306,-2.107138859,0.035105545
2207,2.106256714,0.035182059
3360,2.090768324,0.036548837
2389,2.080702577,0.037461138
2366,-2.070385005,0.038416305
2711,-2.069613819,0.038488523
2963,2.068824286,0.038562579
2910,-2.062174662,0.03919111
1000,-2.049557907,0.040407592
1374,2.046058603,0.040750605
2940,-2.043998265,0.040953719
3435,-2.040762097,0.04127448
1343,-2.038150877,0.041534846
141,2.035806049,0.041769835
3518,2.012756288,0.044140275
