,Regulon_ID,PCA_1VarRembrandt,PCA_1RandomPValRembrandt,PCA_1RandomPValNonMemberRembrandt,PCA_1VarFrench,PCA_1RandomPValFrench,PCA_1RandomPValNonMemberFrench,PCA_1VarIvyAtlas,PCA_1RandomPValIvyAtlas,PCA_1RandomPValNonMemberIvyAtlas,PCA_1VarGSE7696,PCA_1RandomPValGSE7696,PCA_1RandomPValNonMemberGSE7696,PCA_1Var,PCA_1RandomPVal,PCA_1RandomPValNonMember,Mutation,Regulator,RegMutation_Pval_allPatients,EigenGenePValAllPatients,EigenGene_tstat_allPatients,MutationRegulatorEdge,Fraction_of_edges_correctly_aligned,HRFrench,Cox-p-valueFrench,HRGSE7696,Cox-p-valueGSE7696,HRRembrandt,Cox-p-valueRembrandt,HR,p-value,SpearmanCorrelationEigenGene,SpearmanCorrelationPValEigenGene
10,4,0.563177174,0.001996008,0.001996008,0.608763037,0.001996008,0.001996008,0.56169545,0.001996008,0.001996008,0.537813141,0.001996008,0.001996008,0.545063611,0.001996008,0.001996008,ATRX_code_potential_somatic,ENSG00000126351,0.035534081,0.020222834,-2.592200444,1,0.888888889,5.405120512,6.48e-08,,,4.580845238,4.63e-06,2.447446562,0.014387246,-0.386653269,5.36e-17
11,4,0.563177174,0.001996008,0.001996008,0.608763037,0.001996008,0.001996008,0.56169545,0.001996008,0.001996008,0.537813141,0.001996008,0.001996008,0.545063611,0.001996008,0.001996008,PRAME_code_potential_somatic,ENSG00000126351,0.007362559,0.025073905,4.600204447,-1,0.8,5.405120512,6.48e-08,,,4.580845238,4.63e-06,2.447446562,0.014387246,-0.386653269,5.36e-17
12,4,0.563177174,0.001996008,0.001996008,0.608763037,0.001996008,0.001996008,0.56169545,0.001996008,0.001996008,0.537813141,0.001996008,0.001996008,0.545063611,0.001996008,0.001996008,PRPF40B_code_potential_somatic,ENSG00000126351,0.038252979,0.009243071,-6.5554991,1,1.0,5.405120512,6.48e-08,,,4.580845238,4.63e-06,2.447446562,0.014387246,-0.386653269,5.36e-17
13,6,0.806545088,0.001996008,0.001996008,0.830479049,0.001996008,0.001996008,0.775976117,0.001996008,0.001996008,0.743253636,0.001996008,0.001996008,0.706278494,0.001996008,0.001996008,IDH1_code_potential_somatic,ENSG00000126351,0.00170462,1.48e-05,-6.20541669,1,0.909090909,7.10134483,1.24e-12,,,6.263088276,3.77e-10,2.773377779,0.005547768,-0.759359598,4.59e-53
14,6,0.806545088,0.001996008,0.001996008,0.830479049,0.001996008,0.001996008,0.775976117,0.001996008,0.001996008,0.743253636,0.001996008,0.001996008,0.706278494,0.001996008,0.001996008,ADCY1_code_potential_somatic,ENSG00000126351,0.00011083,0.037079609,3.437693327,-1,1.0,7.10134483,1.24e-12,,,6.263088276,3.77e-10,2.773377779,0.005547768,-0.759359598,4.59e-53
15,6,0.806545088,0.001996008,0.001996008,0.830479049,0.001996008,0.001996008,0.775976117,0.001996008,0.001996008,0.743253636,0.001996008,0.001996008,0.706278494,0.001996008,0.001996008,ATRX_code_potential_somatic,ENSG00000126351,0.035534081,0.000338936,-4.598228236,1,0.888888889,7.10134483,1.24e-12,,,6.263088276,3.77e-10,2.773377779,0.005547768,-0.759359598,4.59e-53
16,6,0.806545088,0.001996008,0.001996008,0.830479049,0.001996008,0.001996008,0.775976117,0.001996008,0.001996008,0.743253636,0.001996008,0.001996008,0.706278494,0.001996008,0.001996008,OR9G9_code_potential_somatic,ENSG00000126351,0.014458918,0.040625001,3.188259117,-1,1.0,7.10134483,1.24e-12,,,6.263088276,3.77e-10,2.773377779,0.005547768,-0.759359598,4.59e-53
17,6,0.806545088,0.001996008,0.001996008,0.830479049,0.001996008,0.001996008,0.775976117,0.001996008,0.001996008,0.743253636,0.001996008,0.001996008,0.706278494,0.001996008,0.001996008,PRAME_code_potential_somatic,ENSG00000126351,0.007362559,0.012371668,5.975970946,-1,0.8,7.10134483,1.24e-12,,,6.263088276,3.77e-10,2.773377779,0.005547768,-0.759359598,4.59e-53
18,8,0.691060304,0.001996008,0.001996008,0.503734114,0.001996008,0.001996008,0.597746705,0.001996008,0.001996008,0.619065954,0.001996008,0.001996008,0.646326382,0.001996008,0.001996008,DSP_code_potential_somatic,ENSG00000126351,0.020951903,4.46e-07,8.641069691,1,0.6,3.660132099,0.000252085,,,,,2.305692252,0.021127834,0.36053514,0.000197375
19,8,0.691060304,0.001996008,0.001996008,0.503734114,0.001996008,0.001996008,0.597746705,0.001996008,0.001996008,0.619065954,0.001996008,0.001996008,0.646326382,0.001996008,0.001996008,MCOLN3_code_potential_somatic,ENSG00000126351,0.021913871,0.047274635,-2.906636219,-1,0.5,3.660132099,0.000252085,,,,,2.305692252,0.021127834,0.36053514,0.000197375
