,Regulon_ID,RMST_diff_UnderActiveMinusOverActiveMGMTUnMeth
0,0,265.64897959183685
1,4,460.6840277777779
2,6,427.20343915343904
3,8,67.42857142857144
4,14,566.7423076923075
5,24,273.0935064935066
6,26,-735.791666666667
7,27,132.72500000000025
8,28,722.7619047619047
9,29,550.0225442834139
10,31,428.62074074074076
11,32,277.4389784946236
12,34,357.4874493927124
13,35,283.9888888888888
14,37,478.9006511627909
15,38,306.3443732193732
16,39,369.8043628374135
17,40,443.6872983870968
18,42,350.60965630114544
19,43,400.271021021021
20,46,241.15384615384596
21,47,208.16282051282053
22,49,490.8267477203646
23,53,477.1769230769229
24,56,286.7777777777778
25,57,499.61764705882365
26,58,240.74603174603192
27,59,456.3642241379309
28,64,556.9640151515151
29,65,431.3679653679651
30,66,864.9411764705883
31,72,250.9490740740739
32,73,366.79173290938013
33,75,430.1905701754386
34,76,-499.91666666666634
35,78,286.7777777777778
36,79,381.47380952380956
37,81,492.7894895801872
38,84,568.0952380952381
39,90,515.5279503105589
40,98,327.3429541595925
41,99,412.6580267558529
42,100,322.2767857142859
43,101,521.7460317460317
44,102,349.6383838383839
45,104,742.0305735930738
46,107,426.65384615384625
47,108,580.3869999999998
48,109,468.7799999999999
49,110,375.9854938271603
50,111,75.38888888888857
51,112,378.1056201550385
52,113,222.7813288477712
53,114,335.4
54,115,450.83787878787854
55,116,570.9666666666665
56,117,403.7005454545456
57,118,305.0530846484935
58,119,176.15625
59,121,560.7619047619052
60,123,95.55681818181813
61,127,319.9304347826086
62,128,531.3429286608259
63,136,404.13863636363624
64,154,336.9333333333332
65,155,458.1155997304584
66,157,427.70986937590703
67,160,457.5454545454545
68,161,403.07264957264965
69,162,68.6380090497737
70,163,342.36012235817543
71,165,237.26722222222213
72,166,370.39316239316224
73,169,434.7582417582415
74,171,543.723680241327
75,190,384.28378378378375
76,192,-406.80000000000024
77,193,-227.16367392340692
78,195,-452.2857142857142
79,200,-394.9196428571428
80,203,278.25618131868157
81,209,318.77510683760687
82,212,318.97911445279857
83,213,280.9428240740739
84,216,58.88235294117635
85,220,232.7962962962963
86,231,336.04187758858734
87,235,343.18695993715613
88,236,131.74786324786305
89,238,244.9124999999999
90,239,248.9073275862064
91,241,304.9627329192548
92,242,390.63636363636374
93,243,422.6740890688257
94,244,274.9449287997676
95,245,588.9626436781607
96,247,341.52884615384585
97,250,376.6761204481792
98,252,60.17983193277303
99,255,246.10860215053754
100,256,182.71333333333325
101,257,745.7591973244146
102,259,-645.090476190476
103,281,357.91666666666663
104,283,188.21197793538204
105,284,294.97650375939867
106,285,289.46082949308743
107,288,362.8547008547006
108,290,351.0062843676353
109,292,308.13298258345435
110,293,332.2264808362372
111,295,479.9915789473685
112,296,249.20192307692287
113,299,350.0495356037153
114,302,318.77510683760687
115,304,613.4742647058824
116,305,-413.43589743589735
117,317,352.8333333333333
118,319,520.8892973856209
119,320,496.02777777777754
120,321,184.88995215310996
121,325,332.8701923076924
122,327,318.996754385965
123,329,-211.5087228997291
124,333,-157.13664596273316
125,337,-344.2518115942029
126,343,613.4742647058824
127,355,364.9492234169653
128,356,628.9059224318661
129,360,575.793103448276
130,369,259.4317226890757
131,373,-417.9333333333333
132,375,528.25
133,378,400.41272902603663
134,380,328.6122641509437
135,381,324.2318181818184
136,384,194.04256465517244
137,385,-487.5833333333334
138,386,-214.83333333333343
139,387,-315.18181818181813
140,390,355.30681818181813
141,391,318.5555555555557
142,393,619.4684385382059
143,394,366.76870748299314
144,396,666.3214285714287
145,398,46.09523809523819
146,401,242.49807692307672
147,402,356.07606837606824
148,405,296.6390243902441
149,406,373.35005345687796
150,408,233.49390243902457
151,409,362.2916666666668
152,410,251.49999999999983
153,411,208.5139751552798
154,413,180.32352941176475
155,414,-173.5648148148149
156,415,278.59090909090895
157,416,290.83712121212125
158,421,515.5279503105589
159,422,459.47802197802196
160,423,557.5918367346936
161,424,183.37662337662323
162,427,327.03055555555545
163,432,-622.1785714285714
164,434,-536.3000000000001
165,436,405.3314310798944
166,438,446.0931955211025
167,439,285.59358974358975
