Regulon_ID,PCA_1VarIvyAtlas,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPValIvyAtlas,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMemberIvyAtlas,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
0,0.521333889,0.216274956,0.240604447,0,0.001996008,0.305058932,0.280729441,0.186388039,0.447178218,0,0.001996008,0.33494585,0.074155671
1,0.523073873,0.260478322,0.338650312,3,0.007984032,0.262595551,0.184423561,0.278931644,0.345700794,0,0.001996008,0.244142229,0.177373079
2,0.801913799,0.312348908,0.390684342,0,0.001996008,0.489564891,0.411229457,0.282487798,0.591954488,0,0.001996008,0.519426001,0.209959311
3,0.738551628,0.20932446,0.355968646,0,0.001996008,0.529227167,0.382582982,0.326081353,0.455646174,0,0.001996008,0.412470275,0.282905454
4,0.56169545,0.209916777,0.230784296,0,0.001996008,0.351778673,0.330911154,0.222948522,0.481836945,0,0.001996008,0.338746928,0.079858505
5,0.436271388,0.25888188,0.334373315,24,0.0499002,0.177389509,0.101898074,0.215943621,0.30585539,0,0.001996008,0.220327767,0.130415999
6,0.775976117,0.25440405,0.328829791,0,0.001996008,0.521572067,0.447146325,0.400000859,0.606978655,0,0.001996008,0.375975258,0.168997461
7,0.738837569,0.258541887,0.336994671,0,0.001996008,0.480295682,0.401842898,0.382185661,0.613167973,0,0.001996008,0.356651908,0.125669596
8,0.597746705,0.166342506,0.323313642,0,0.001996008,0.431404199,0.274433062,0.287826448,0.369398126,0,0.001996008,0.309920257,0.228348579
9,0.658379833,0.254927726,0.359283762,0,0.001996008,0.403452107,0.299096072,0.336052591,0.498995674,0,0.001996008,0.322327243,0.15938416
10,0.75291558,0.177827095,0.330763166,0,0.001996008,0.575088485,0.422152414,0.364686035,0.478254299,0,0.001996008,0.388229545,0.274661281
11,0.710818784,0.280822763,0.466938705,3,0.007984032,0.429996021,0.24388008,0.356728085,0.480975811,1,0.003992016,0.3540907,0.229842974
12,0.862737097,0.310696377,0.418676007,0,0.001996008,0.55204072,0.444061089,0.422465386,0.708360697,0,0.001996008,0.440271711,0.1543764
13,0.891129712,0.247739363,0.375948444,0,0.001996008,0.643390349,0.515181268,0.453853416,0.768663787,0,0.001996008,0.437276296,0.122465925
14,0.791866294,0.221033763,0.384837631,0,0.001996008,0.570832531,0.407028663,0.387833018,0.643136442,0,0.001996008,0.404033275,0.148729852
15,0.640618525,0.15577513,0.368502765,0,0.001996008,0.484843395,0.27211576,0.362708858,0.419761129,0,0.001996008,0.277909667,0.220857396
