Regulon_ID,HRFrench,Cox-p-valueFrench
1372,7.622956682,2.48E-14
1556,7.62051322,2.53E-14
647,-7.618607454,2.56E-14
356,7.61281851,2.68E-14
1557,7.606313909,2.82E-14
877,7.600031758,2.96E-14
2839,7.596594405,3.04E-14
3568,7.595794518,3.06E-14
3569,7.594443485,3.09E-14
1671,-7.585711288,3.31E-14
2630,7.584451299,3.34E-14
3019,7.583080958,3.37E-14
635,7.582853822,3.38E-14
1517,7.56829244,3.78E-14
3667,-7.564609045,3.89E-14
134,7.562081619,3.97E-14
200,-7.562019336,3.97E-14
245,7.554898878,4.19E-14
3070,7.546177357,4.48E-14
3669,-7.546056948,4.49E-14
1576,7.541852751,4.63E-14
3404,7.540285673,4.69E-14
3463,7.537929751,4.77E-14
2041,-7.535743676,4.86E-14
1555,7.533968549,4.92E-14
3538,7.528074819,5.15E-14
467,7.527457726,5.17E-14
2822,7.523711175,5.32E-14
3333,7.521830437,5.40E-14
3575,7.520874386,5.44E-14
3630,7.517480541,5.58E-14
3567,7.514431839,5.72E-14
241,7.512251396,5.81E-14
1872,7.505178245,6.13E-14
1296,-7.50414246,6.18E-14
2620,7.503725729,6.20E-14
856,-7.497937667,6.48E-14
32,7.492393799,6.76E-14
1992,-7.488327871,6.98E-14
2548,7.48619665,7.09E-14
3021,7.484407521,7.19E-14
1163,-7.48297444,7.27E-14
799,7.472945079,7.84E-14
1094,7.466999238,8.20E-14
2651,-7.466735181,8.22E-14
691,7.465745109,8.28E-14
2421,7.465745109,8.28E-14
772,7.463507579,8.42E-14
1679,7.463379389,8.43E-14
299,7.463379389,8.43E-14
1172,7.463379389,8.43E-14
2979,7.463379389,8.43E-14
239,7.457009306,8.85E-14
1534,7.456716272,8.87E-14
1835,7.456716272,8.87E-14
1048,7.455855014,8.93E-14
2035,7.445134553,9.68E-14
465,7.439111601,1.01E-13
714,7.433714772,1.06E-13
193,-7.427789195,1.10E-13
2330,7.425320032,1.13E-13
3199,7.424957754,1.13E-13
3239,7.412046802,1.24E-13
3267,7.411547034,1.25E-13
768,7.402763396,1.33E-13
1336,7.402500309,1.34E-13
1667,-7.402182813,1.34E-13
1401,7.398659518,1.38E-13
1630,-7.398497551,1.38E-13
1218,7.397804507,1.38E-13
494,7.396475059,1.40E-13
1503,7.393752647,1.43E-13
2271,7.39091003,1.46E-13
2354,-7.388224978,1.49E-13
3362,-7.388224978,1.49E-13
1832,-7.387873058,1.49E-13
1438,7.384459008,1.53E-13
1287,-7.384349422,1.53E-13
2415,-7.372136612,1.68E-13
423,7.369438389,1.71E-13
2043,7.368476654,1.73E-13
460,7.367987114,1.73E-13
2507,7.365632691,1.76E-13
1486,7.36173583,1.82E-13
1268,7.359755284,1.84E-13
2005,7.358674121,1.86E-13
90,7.358674121,1.86E-13
304,7.358674121,1.86E-13
343,7.358674121,1.86E-13
421,7.358674121,1.86E-13
3379,-7.350959041,1.97E-13
327,7.344121186,2.07E-13
128,7.343785648,2.08E-13
1988,7.336243635,2.20E-13
1349,7.335518053,2.21E-13
1345,7.33542056,2.21E-13
1399,7.331977651,2.27E-13
2319,7.331159594,2.28E-13
1221,7.330091428,2.30E-13
3018,7.326265137,2.37E-13
1119,7.323401987,2.42E-13
3116,7.322529236,2.43E-13
659,7.321299665,2.46E-13
3613,7.320754736,2.47E-13
2094,7.316219119,2.55E-13
1940,7.31572294,2.56E-13
2975,7.314725228,2.58E-13
101,7.311057906,2.65E-13
2969,7.310057148,2.67E-13
2366,-7.309047235,2.69E-13
2199,-7.30221176,2.83E-13
171,7.300623699,2.86E-13
990,7.292032076,3.05E-13
2730,7.289958312,3.10E-13
2327,7.289032798,3.12E-13
1520,7.288327809,3.14E-13
537,7.285809242,3.20E-13
203,7.282492206,3.28E-13
3603,-7.281655694,3.30E-13
2628,7.277888962,3.39E-13
1189,7.275302204,3.46E-13
687,-7.274597279,3.47E-13
3537,-7.270074726,3.59E-13
2587,7.26965648,3.60E-13
380,7.269179936,3.62E-13
2036,7.260236404,3.86E-13
462,7.257378979,3.95E-13
704,7.257174002,3.95E-13
2274,-7.251781705,4.11E-13
553,7.245574169,4.31E-13
2963,7.242978311,4.39E-13
1977,7.242576916,4.40E-13
3305,-7.242365211,4.41E-13
2466,7.242322969,4.41E-13
1169,7.238254863,4.54E-13
2485,7.234571703,4.67E-13
3451,7.234571703,4.67E-13
1526,7.233682819,4.70E-13
2109,-7.22809416,4.90E-13
3071,7.226212563,4.97E-13
409,7.222657064,5.10E-13
3388,7.219746627,5.21E-13
1326,7.21906406,5.23E-13
303,7.218147904,5.27E-13
520,7.203225524,5.88E-13
3053,7.202265691,5.92E-13
3027,7.202264748,5.92E-13
1780,7.202180161,5.93E-13
1623,7.192826987,6.35E-13
646,7.191371491,6.41E-13
1444,7.186827411,6.63E-13
2585,7.18547274,6.70E-13
1641,7.182072331,6.87E-13
2266,7.180356239,6.95E-13
2481,7.168284596,7.59E-13
117,7.165810039,7.73E-13
2158,-7.163752681,7.85E-13
42,7.160770131,8.02E-13
3153,7.160627826,8.03E-13
387,-7.159755942,8.08E-13
157,7.159619016,8.09E-13
283,7.154890312,8.37E-13
3006,7.149480717,8.71E-13
3159,-7.146500773,8.90E-13
482,7.146468911,8.90E-13
3559,-7.142582844,9.16E-13
44,7.141520517,9.23E-13
1214,7.138495696,9.44E-13
2522,7.138013744,9.47E-13
1121,7.137236418,9.52E-13
2616,7.135647058,9.63E-13
1829,7.132492119,9.86E-13
1628,7.127191037,1.02E-12
39,7.126113406,1.03E-12
1429,7.124496693,1.04E-12
2440,7.12220383,1.06E-12
712,7.11931993,1.08E-12
432,-7.118434287,1.09E-12
2141,7.11824268,1.09E-12
406,7.117082243,1.10E-12
56,7.11661826,1.11E-12
78,7.11661826,1.11E-12
1944,7.115571188,1.11E-12
2890,-7.114195389,1.13E-12
3033,7.109461625,1.16E-12
499,7.108296612,1.17E-12
2050,7.108296612,1.17E-12
2709,7.108296612,1.17E-12
805,7.103994471,1.21E-12
6,7.10134483,1.24E-12
1079,-7.099542379,1.25E-12
1173,-7.099542379,1.25E-12
1460,7.088172678,1.36E-12
838,7.08810388,1.36E-12
770,7.087395444,1.37E-12
1391,-7.085588507,1.38E-12
1729,7.084897487,1.39E-12
2631,7.08438511,1.40E-12
441,7.084335814,1.40E-12
2850,7.082520681,1.42E-12
1997,7.081032233,1.43E-12
2101,7.076402143,1.48E-12
