Regulon_ID,PCA_1VarRembrandt,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPValRembrandt,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMemberRembrandt,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
0,0.572243158,0.22591269,0.247394971,0,0.001996008,0.346330468,0.324848187,0.26007952,0.502091441,0,0.001996008,0.312163638,0.070151717
2,0.838737054,0.398614433,0.458159964,0,0.001996008,0.440122622,0.380577091,0.270332618,0.644468785,0,0.001996008,0.568404436,0.194268269
3,0.709861778,0.229407891,0.342740883,0,0.001996008,0.480453887,0.367120896,0.458756681,0.515040279,0,0.001996008,0.251105097,0.194821499
4,0.563177174,0.217576659,0.236849663,0,0.001996008,0.345600515,0.32632751,0.280695292,0.499273583,0,0.001996008,0.282481882,0.063903591
5,0.772932141,0.194370793,0.283283558,0,0.001996008,0.578561348,0.489648583,0.404807831,0.498526809,0,0.001996008,0.36812431,0.274405332
6,0.806545088,0.252590383,0.325154429,0,0.001996008,0.553954705,0.481390659,0.497709406,0.693942307,0,0.001996008,0.308835682,0.112602781
7,0.701358913,0.283093858,0.35908468,0,0.001996008,0.418265055,0.342274233,0.336540906,0.537290456,0,0.001996008,0.364818007,0.164068457
8,0.691060304,0.287973607,0.383782963,0,0.001996008,0.403086696,0.307277341,0.36016636,0.443821748,0,0.001996008,0.330893943,0.247238555
9,0.791611433,0.307857605,0.398778791,0,0.001996008,0.483753828,0.392832642,0.456857634,0.648641879,0,0.001996008,0.3347538,0.142969554
10,0.765802775,0.179009071,0.328238946,0,0.001996008,0.586793704,0.437563829,0.337823325,0.463125069,0,0.001996008,0.42797945,0.302677706
11,0.556874168,0.213979823,0.415764615,13,0.027944112,0.342894345,0.141109553,0.330240729,0.430837081,21,0.043912176,0.226633438,0.126037087
12,0.892031915,0.368842856,0.460162414,0,0.001996008,0.523189059,0.4318695,0.423721464,0.718768763,0,0.001996008,0.46831045,0.173263152
13,0.938874626,0.211189401,0.34785895,0,0.001996008,0.727685225,0.591015676,0.641482145,0.799905663,0,0.001996008,0.297392481,0.138968963
14,0.937704861,0.278245434,0.419772922,0,0.001996008,0.659459427,0.517931939,0.534860434,0.750107284,0,0.001996008,0.402844428,0.187597577
15,0.640334359,0.21357934,0.373806095,1,0.003992016,0.426755019,0.266528263,0.400932235,0.525337739,0,0.001996008,0.239402123,0.114996619
16,0.7330074,0.164957218,0.362616139,0,0.001996008,0.568050182,0.37039126,0.30667571,0.410340899,0,0.001996008,0.42633169,0.322666501
17,0.533549409,0.229024448,0.240953866,0,0.001996008,0.304524961,0.292595543,0.250493547,0.502146729,0,0.001996008,0.283055862,0.03140268
18,0.830627886,0.348216074,0.42907535,0,0.001996008,0.482411813,0.401552537,0.315221382,0.568380665,0,0.001996008,0.515406505,0.262247221
20,0.647693407,0.199576594,0.326912375,0,0.001996008,0.448116813,0.320781031,0.434038824,0.413203635,0,0.001996008,0.213654583,0.234489771
21,0.527496611,0.218616463,0.389314789,18,0.037924152,0.308880148,0.138181822,0.316257847,0.389934917,0,0.001996008,0.211238764,0.137561694
22,0.649580374,0.21419318,0.377413366,1,0.003992016,0.435387194,0.272167008,0.422467055,0.556198061,0,0.001996008,0.227113319,0.093382313
23,0.622586519,0.231306664,0.256064009,0,0.001996008,0.391279856,0.366522511,0.306961803,0.548394523,0,0.001996008,0.315624717,0.074191996
24,0.562573806,0.223748385,0.243434183,0,0.001996008,0.338825421,0.319139624,0.323594437,0.49024728,0,0.001996008,0.238979369,0.072326526
25,0.725614623,0.259877611,0.370571505,0,0.001996008,0.465737013,0.355043118,0.305625651,0.56507682,0,0.001996008,0.419988973,0.160537803
26,0.651859245,0.235570984,0.344506364,0,0.001996008,0.416288261,0.307352881,0.344557961,0.399794936,0,0.001996008,0.307301284,0.252064308
27,0.846582459,0.315811444,0.425164662,0,0.001996008,0.530771015,0.421417797,0.461076118,0.548209592,0,0.001996008,0.385506341,0.298372867
28,0.857946718,0.235735119,0.359583562,0,0.001996008,0.622211599,0.498363156,0.489898955,0.798221337,0,0.001996008,0.368047763,0.059725381
29,0.731006143,0.228455413,0.395238938,0,0.001996008,0.50255073,0.335767205,0.365783852,0.477815016,0,0.001996008,0.365222291,0.253191127
30,0.677961205,0.307500663,0.437670081,4,0.00998004,0.370460542,0.240291124,0.371690028,0.478077128,0,0.001996008,0.306271177,0.199884077
31,0.621146148,0.243651378,0.271213452,0,0.001996008,0.377494769,0.349932696,0.287531714,0.521081135,0,0.001996008,0.333614434,0.100065012
32,0.789877938,0.320674093,0.420677976,0,0.001996008,0.469203844,0.369199961,0.453270102,0.589743152,0,0.001996008,0.336607836,0.200134786
33,0.678085762,0.340314702,0.439698583,2,0.005988024,0.337771061,0.23838718,0.361312628,0.45232222,0,0.001996008,0.316773134,0.225763542
34,0.535467687,0.22262917,0.2316741,0,0.001996008,0.312838517,0.303793586,0.37733161,0.519276689,0,0.001996008,0.158136077,0.016190998
35,0.748183284,0.234070011,0.244688626,0,0.001996008,0.514113273,0.503494658,0.394649537,0.521767556,0,0.001996008,0.353533747,0.226415728
36,0.294769171,0.182373072,0.192741963,0,0.001996008,0.112396099,0.102027208,0.208455551,0.204785984,0,0.001996008,0.08631362,0.089983187
37,0.441911802,0.209127172,0.231306699,0,0.001996008,0.23278463,0.210605103,0.227872727,0.322055845,0,0.001996008,0.214039075,0.119855957
38,0.66190906,0.262034202,0.287267962,0,0.001996008,0.399874858,0.374641098,0.263766932,0.56552104,0,0.001996008,0.398142128,0.09638802
39,0.580745942,0.224612513,0.246108825,0,0.001996008,0.356133429,0.334637117,0.300014758,0.461263632,0,0.001996008,0.280731184,0.119482311
40,0.64648956,0.238558611,0.268015718,0,0.001996008,0.40793095,0.378473842,0.325317988,0.57734125,0,0.001996008,0.321171572,0.069148311
41,0.429094641,0.183480233,0.22092542,0,0.001996008,0.245614408,0.208169221,0.254741834,0.275954893,0,0.001996008,0.174352807,0.153139748
42,0.601289154,0.309701278,0.34472852,0,0.001996008,0.291587876,0.256560634,0.26154906,0.442206312,0,0.001996008,0.339740094,0.159082843
43,0.528491927,0.212721901,0.234025686,0,0.001996008,0.315770027,0.294466241,0.281538364,0.31902407,0,0.001996008,0.246953563,0.209467857
44,0.538195966,0.162353609,0.216494591,0,0.001996008,0.375842357,0.321701376,0.310073086,0.379348244,0,0.001996008,0.22812288,0.158847723
45,0.421640092,0.182448223,0.240394413,0,0.001996008,0.239191869,0.181245679,0.272779213,0.299158158,0,0.001996008,0.148860879,0.122481934
