Regulon_ID,Regulator,Gene
0,ENSG00000147862,ENSG00000101160
0,ENSG00000147862,ENSG00000071073
0,ENSG00000147862,ENSG00000148908
0,ENSG00000147862,ENSG00000121281
0,ENSG00000147862,ENSG00000137767
0,ENSG00000147862,ENSG00000000938
0,ENSG00000147862,ENSG00000180353
0,ENSG00000147862,ENSG00000162745
0,ENSG00000147862,ENSG00000197405
0,ENSG00000147862,ENSG00000099250
0,ENSG00000147862,ENSG00000160691
0,ENSG00000147862,ENSG00000027697
0,ENSG00000147862,ENSG00000131724
0,ENSG00000147862,ENSG00000110446
0,ENSG00000147862,ENSG00000130429
0,ENSG00000147862,ENSG00000119535
0,ENSG00000147862,ENSG00000099785
0,ENSG00000147862,ENSG00000110031
0,ENSG00000147862,ENSG00000282608
0,ENSG00000147862,ENSG00000115232
0,ENSG00000147862,ENSG00000110876
0,ENSG00000147862,ENSG00000100060
0,ENSG00000147862,ENSG00000141655
0,ENSG00000147862,ENSG00000254087
0,ENSG00000147862,ENSG00000057252
0,ENSG00000147862,ENSG00000111424
0,ENSG00000147862,ENSG00000124357
0,ENSG00000147862,ENSG00000128340
0,ENSG00000147862,ENSG00000054219
0,ENSG00000147862,ENSG00000093072
0,ENSG00000147862,ENSG00000129038
0,ENSG00000147862,ENSG00000136305
0,ENSG00000147862,ENSG00000004799
0,ENSG00000147862,ENSG00000161638
0,ENSG00000147862,ENSG00000106991
0,ENSG00000147862,ENSG00000129450
0,ENSG00000147862,ENSG00000165025
0,ENSG00000147862,ENSG00000136404
0,ENSG00000147862,ENSG00000090339
0,ENSG00000147862,ENSG00000065534
0,ENSG00000147862,ENSG00000184922
0,ENSG00000147862,ENSG00000134996
0,ENSG00000147862,ENSG00000105974
0,ENSG00000147862,ENSG00000006534
0,ENSG00000147862,ENSG00000102879
1,ENSG00000147862,ENSG00000102554
1,ENSG00000147862,ENSG00000108375
1,ENSG00000147862,ENSG00000204175
1,ENSG00000147862,ENSG00000070159
1,ENSG00000147862,ENSG00000139629
1,ENSG00000147862,ENSG00000117472
1,ENSG00000147862,ENSG00000137486
1,ENSG00000147862,ENSG00000137880
1,ENSG00000147862,ENSG00000144063
1,ENSG00000147862,ENSG00000107960
2,ENSG00000147862,ENSG00000157782
2,ENSG00000147862,ENSG00000154277
2,ENSG00000147862,ENSG00000162630
2,ENSG00000147862,ENSG00000085365
2,ENSG00000147862,ENSG00000108176
2,ENSG00000147862,ENSG00000181751
2,ENSG00000147862,ENSG00000221946
2,ENSG00000147862,ENSG00000205629
